distance,consume,temp_inside,temp_outside,gas_type,AC,rain,sun,temp_diff,fuel_used,cost_of_trip,trip_in_hours,avg_speed
16.1,5.4,21.5,7,E10,0,1,0,14.5,0.8694000000000002,1.778,0.4,40.25
11.8,4.3,21.5,10,E10,0,1,0,11.5,0.5074000000000001,1.038,0.6666666666666666,17.700000000000003
12.3,5.4,21.5,13,E10,0,0,0,8.5,0.6642,1.358,0.9666666666666667,12.724137931034484
12.4,4.3,21.5,17,E10,0,0,0,4.5,0.5332,1.09,0.8166666666666667,15.183673469387756
7.0,5.2,21.5,17,E10,0,0,0,4.5,0.364,0.744,0.4166666666666667,16.8
11.8,4.1,21.5,10,E10,0,0,0,11.5,0.48379999999999995,0.989,0.6166666666666667,19.135135135135137
20.1,4.4,21.5,18,E10,0,0,0,3.5,0.8844000000000001,1.809,0.6833333333333333,29.414634146341466
20.8,4.5,21.5,10,E10,0,0,0,11.5,0.936,1.914,0.75,27.733333333333334
1.7,10.8,21.5,10,E10,0,1,0,11.5,0.18359999999999999,0.375,0.23333333333333334,7.285714285714286
35.9,4.7,21.5,12,E10,0,0,0,9.5,1.6872999999999998,3.451,0.75,47.86666666666667
36.9,4.8,21.5,5,E10,0,0,0,16.5,1.7711999999999997,3.622,0.8666666666666667,42.57692307692307
16.8,4.0,21.5,8,E10,0,0,0,13.5,0.672,1.374,0.7666666666666667,21.913043478260867
9.9,5.0,21.5,9,E10,0,0,0,12.5,0.495,1.012,0.4666666666666667,21.214285714285715
22.9,4.6,21.5,7,E10,0,1,0,14.5,1.0534,2.154,1.0166666666666666,22.524590163934427
17.3,5.0,21.5,6,E10,1,1,0,15.5,0.865,1.769,1.0166666666666666,17.016393442622952
11.8,4.3,21.5,7,E10,0,0,0,14.5,0.5074000000000001,1.038,0.6166666666666667,19.135135135135137
36.6,5.2,21.5,7,E10,0,1,0,14.5,1.9032000000000002,3.892,1.3333333333333333,27.450000000000003
44.9,4.7,21.5,8,E10,0,0,0,13.5,2.1103,4.316,1.0333333333333334,43.4516129032258
11.8,4.2,21.5,9,E10,0,1,0,12.5,0.49560000000000004,1.014,0.5666666666666667,20.823529411764707
